0, 0, 5.79e+10, 0, 1.082e+11, 0, 1.496e+11, 0, 2.279e+11, 0, 7.784e+11, 0, 1.427e+12, 0, 2.87e+12, 0
1050.19, 0, 5.77523e+10, 4.13856e+09, 1.08158e+11, 3.024e+09, 1.49578e+11, 2.57472e+09, 2.2789e+11, 2.08224e+09, 7.78399e+11, 1.13184e+09, 1.427e+12, 8.3808e+08, 2.87e+12, 5.8752e+08
459592, 20828.8, 4.12582e+09, 5.78947e+10, 9.00758e+10, 5.99244e+10, 1.39949e+11, 5.29039e+10, 2.23709e+11, 4.34592e+10, 7.7804e+11, 2.3765e+10, 1.42689e+12, 1.75992e+10, 2.86997e+12, 1.23379e+10
1.71977e+06, 141744, -5.6761e+10, 1.28579e+10, 4.45413e+10, 9.85581e+10, 1.13929e+11, 9.70374e+10, 2.12061e+11, 8.33855e+10, 7.77027e+11, 4.63782e+10, 1.42659e+12, 3.4358e+10, 2.8699e+12, 2.4088e+10
3.72013e+06, 413479, -2.135e+10, -5.40405e+10, -1.45765e+10, 1.07124e+11, 7.45757e+10, 1.29815e+11, 1.93334e+11, 1.20527e+11, 7.75362e+11, 6.89524e+10, 1.42609e+12, 5.11121e+10, 2.86978e+12, 3.58378e+10
6.41115e+06, 854068, 5.02266e+10, -2.88542e+10, -6.92368e+10, 8.29741e+10, 2.65042e+10, 1.47417e+11, 1.6815e+11, 1.53643e+11, 7.73047e+11, 9.14687e+10, 1.4254e+12, 6.78593e+10, 2.8696e+12, 4.75869e+10
9.75328e+06, 1.47784e+06, 3.56517e+10, 4.5707e+10, -1.02724e+11, 3.34576e+10, -2.46614e+10, 1.47809e+11, 1.37345e+11, 1.81621e+11, 7.70082e+11, 1.13908e+11, 1.42451e+12, 8.45972e+10, 2.86938e+12, 5.93353e+10
1.36965e+07, 2.28812e+06, -4.00759e+10, 4.21354e+10, -1.04778e+11, -2.62936e+10, -7.29518e+10, 1.3097e+11, 1.01946e+11, 2.03521e+11, 7.66471e+11, 1.36252e+11, 1.42343e+12, 1.01324e+11, 2.86912e+12, 7.10827e+10
1.81974e+07, 3.2519e+06, -4.77911e+10, -3.31433e+10, -7.47672e+10, -7.79993e+10, -1.12748e+11, 9.88837e+10, 6.31328e+10, 2.18604e+11, 7.62216e+11, 1.58481e+11, 1.42215e+12, 1.18036e+11, 2.8688e+12, 8.28289e+10
2.32585e+07, 4.31642e+06, 2.56129e+10, -5.20263e+10, -2.18837e+10, -1.05852e+11, -1.39432e+11, 5.52982e+10, 2.22044e+10, 2.26356e+11, 7.57323e+11, 1.80578e+11, 1.42067e+12, 1.34733e+11, 2.86844e+12, 9.45737e+10
2.89266e+07, 5.45866e+06, 5.50719e+10, 1.79969e+10, 3.76966e+10, -1.01366e+11, -1.4991e+11, 5.28709e+09, -1.94678e+10, 2.26507e+11, 7.51793e+11, 2.02523e+11, 1.419e+12, 1.51411e+11, 2.86802e+12, 1.06317e+11
3.52459e+07, 6.70288e+06, -9.89519e+09, 5.7232e+10, 8.57866e+10, -6.59455e+10, -1.4297e+11, -4.53375e+10, -6.04835e+10, 2.19042e+11, 7.45633e+11, 2.24297e+11, 1.41714e+12, 1.68069e+11, 2.86756e+12, 1.18058e+11
4.22306e+07, 8.0871e+06, -5.81512e+10, -1.09495e+09, 1.07737e+11, -1.04165e+10, -1.19415e+11, -9.06931e+10, -9.9461e+10, 2.04205e+11, 7.38847e+11, 2.45884e+11, 1.41509e+12, 1.84704e+11, 2.86706e+12, 1.29798e+11
4.98853e+07, 9.63805e+06, -7.68321e+09, -5.7542e+10, 9.68719e+10, 4.82899e+10, -8.19714e+10, -1.25503e+11, -1.35084e+11, 1.82485e+11, 7.31442e+11, 2.67264e+11, 1.41284e+12, 2.01314e+11, 2.8665e+12, 1.41535e+11
5.8223e+07, 1.13887e+07, 5.57528e+10, -1.58359e+10, 5.65007e+10, 9.22812e+10, -3.49822e+10, -1.45704e+11, -1.66146e+11, 1.54608e+11, 7.23424e+11, 2.8842e+11, 1.41039e+12, 2.17896e+11, 2.86589e+12, 1.5327e+11
6.72411e+07, 1.3394e+07, 2.36405e+10, 5.29998e+10, -1.0814e+09, 1.0813e+11, 1.60896e+10, -1.48923e+11, -1.91595e+11, 1.2151e+11, 7.14798e+11, 3.09334e+11, 1.40776e+12, 2.34449e+11, 2.86524e+12, 1.65002e+11
7.68978e+07, 1.57014e+07, -4.89618e+10, 3.13269e+10, -5.83084e+10, 9.09689e+10, 6.52905e+10, -1.34761e+11, -2.10563e+11, 8.43048e+10, 7.05574e+11, 3.29989e+11, 1.40493e+12, 2.5097e+11, 2.86454e+12, 1.76732e+11
8.71391e+07, 1.83133e+07, -3.83655e+10, -4.36022e+10, -9.76859e+10, 4.60089e+10, 1.06869e+11, -1.04848e+11, -2.22407e+11, 4.4249e+10, 6.95759e+11, 3.50366e+11, 1.40191e+12, 2.67457e+11, 2.86379e+12, 1.88459e+11
9.79446e+07, 2.12019e+07, 3.74699e+10, -4.42687e+10, -1.07153e+11, -1.30183e+10, 1.35954e+11, -6.26647e+10, -2.2672e+11, 2.69665e+09, 6.8536e+11, 3.70451e+11, 1.39869e+12, 2.83907e+11, 2.86299e+12, 2.00182e+11
1.09331e+08, 2.43536e+07, 4.91817e+10, 3.08025e+10, -8.38019e+10, -6.80556e+10, 1.49129e+11, -1.31409e+10, -2.23357e+11, -3.89461e+10, 6.74388e+11, 3.90224e+11, 1.39529e+12, 3.00319e+11, 2.86215e+12, 2.11902e+11
1.21314e+08, 2.7782e+07, -2.32825e+10, 5.32251e+10, -3.47843e+10, -1.02271e+11, 1.44847e+11, 3.79257e+10, -2.12431e+11, -7.92698e+10, 6.62851e+11, 4.09671e+11, 1.39169e+12, 3.1669e+11, 2.86125e+12, 2.23619e+11
1.33899e+08, 3.15016e+07, -5.60978e+10, -1.49677e+10, 2.49035e+10, -1.05228e+11, 1.23612e+11, 8.45536e+10, -1.94314e+11, -1.16911e+11, 6.50759e+11, 4.28775e+11, 1.38791e+12, 3.33018e+11, 2.86031e+12, 2.35332e+11
1.47104e+08, 3.55226e+07, 6.48826e+09, -5.76465e+10, 7.7035e+10, -7.60545e+10, 8.79211e+10, 1.21288e+11, -1.6962e+11, -1.50597e+11, 6.38122e+11, 4.4752e+11, 1.38393e+12, 3.49301e+11, 2.85932e+12, 2.47041e+11
1.60964e+08, 3.98826e+07, 5.80299e+10, -1.85959e+09, 1.05725e+11, -2.36782e+10, 4.19648e+10, 1.43842e+11, -1.39191e+11, -1.79194e+11, 6.24952e+11, 4.6589e+11, 1.37977e+12, 3.65536e+11, 2.85828e+12, 2.58746e+11
1.75487e+08, 4.46595e+07, 1.02899e+10, 5.71882e+10, 1.02246e+11, 3.59273e+10, -8.87465e+09, 1.49601e+11, -1.04056e+11, -2.0174e+11, 6.11259e+11, 4.8387e+11, 1.37542e+12, 3.81722e+11, 2.8572e+12, 2.70446e+11
1.90628e+08, 4.99311e+07, -5.49341e+10, 1.87131e+10, 6.76633e+10, 8.45973e+10, -5.86593e+10, 1.37918e+11, -6.5407e+10, -2.17483e+11, 5.97055e+11, 5.01445e+11, 1.37088e+12, 3.97855e+11, 2.85606e+12, 2.82142e+11
2.06315e+08, 5.57331e+07, -2.66404e+10, -5.14874e+10, 1.25083e+10, 1.07485e+11, -1.01591e+11, 1.10179e+11, -2.45476e+10, -2.25898e+11, 5.82352e+11, 5.18602e+11, 1.36615e+12, 4.13935e+11, 2.85488e+12, 2.93833e+11
2.22487e+08, 6.20668e+07, 4.71696e+10, -3.38678e+10, -4.63978e+10, 9.75789e+10, -1.32682e+11, 6.96308e+10, 1.71449e+10, -2.26714e+11, 5.67162e+11, 5.35324e+11, 1.36123e+12, 4.29958e+11, 2.85365e+12, 3.0552e+11
2.391e+08, 6.89297e+07, 4.04375e+10, 4.18127e+10, -9.10532e+10, 5.78739e+10, -1.48328e+11, 2.09975e+10, 5.82696e+10, -2.19911e+11, 5.51499e+11, 5.516e+11, 1.35613e+12, 4.45922e+11, 2.85237e+12, 3.17201e+11
2.56099e+08, 7.63101e+07, -3.52483e+10, 4.61304e+10, -1.07784e+11, 4.90081e+08, -1.46716e+11, -3.00667e+10, 9.74481e+10, -2.05728e+11, 5.35376e+11, 5.67414e+11, 1.35084e+12, 4.61826e+11, 2.85105e+12, 3.28877e+11
2.73438e+08, 8.41619e+07, -5.07158e+10, -2.79362e+10, -9.14558e+10, -5.70202e+10, -1.2803e+11, -7.76284e+10, 1.33371e+11, -1.84648e+11, 5.18806e+11, 5.82755e+11, 1.34537e+12, 4.77667e+11, 2.84967e+12, 3.40547e+11
2.91118e+08, 9.24169e+07, 2.03355e+10, -5.43251e+10, -4.70681e+10, -9.70644e+10, -9.44304e+10, -1.16156e+11, 1.64839e+11, -1.57386e+11, 5.01803e+11, 5.97609e+11, 1.33972e+12, 4.93444e+11, 2.84825e+12, 3.52212e+11
3.09191e+08, 1.01037e+08, 5.69238e+10, 1.22611e+10, 1.17968e+10, -1.07416e+11, -4.98109e+10, -1.41158e+11, 1.90806e+11, -1.24857e+11, 4.84382e+11, 6.11965e+11, 1.33388e+12, 5.09153e+11, 2.84678e+12, 3.63871e+11
3.27713e+08, 1.10037e+08, -3.60988e+09, 5.80472e+10, 6.71587e+10, -8.49464e+10, 6.46534e+08, -1.49703e+11, 2.1041e+11, -8.81534e+10, 4.66557e+11, 6.2581e+11, 1.32786e+12, 5.24792e+11, 2.84526e+12, 3.75524e+11
3.4671e+08, 1.19455e+08, -5.76485e+10, 5.04485e+09, 1.02144e+11, -3.65379e+10, 5.10657e+10, -1.40769e+11, 2.22999e+11, -4.85018e+10, 4.48344e+11, 6.39134e+11, 1.32166e+12, 5.40361e+11, 2.8437e+12, 3.8717e+11
3.66198e+08, 1.29327e+08, -1.33003e+10, -5.63184e+10, 1.06111e+11, 2.30427e+10, 9.55581e+10, -1.15374e+11, 2.28158e+11, -7.22671e+09, 4.29757e+11, 6.51925e+11, 1.31528e+12, 5.55855e+11, 2.84209e+12, 3.9881e+11
